,median,mean,std,lower_95,upper_95,lower_90,upper_90,lower_68,upper_68
17054,5.274412531647901,5.394019571983241,0.5109784268090563,4.7995301653637155,6.659674196017686,4.822107880101642,6.3438443096583885,4.928264318772967,5.853477600112972
17055,3.9006610823562466,3.9006610823562458,8.881784197001252e-16,3.9006610823562466,3.9006610823562466,3.9006610823562466,3.9006610823562466,3.9006610823562466,3.9006610823562466
17056,3.045963430425421,3.0459634304254215,4.440892098500626e-16,3.045963430425421,3.045963430425421,3.045963430425421,3.045963430425421,3.045963430425421,3.045963430425421
17057,2.778551000738584,2.778551000738583,8.881784197001252e-16,2.778551000738584,2.778551000738584,2.778551000738584,2.778551000738584,2.778551000738584,2.778551000738584
17058,3.5319009153517347,3.5319009153517347,0.0,3.5319009153517347,3.5319009153517347,3.5319009153517347,3.5319009153517347,3.5319009153517347,3.5319009153517347
17059,3.1496388371130895,3.149638837113089,4.440892098500626e-16,3.1496388371130895,3.1496388371130895,3.1496388371130895,3.1496388371130895,3.1496388371130895,3.1496388371130895
17060,3.228814373282099,3.228814373282099,0.0,3.228814373282099,3.228814373282099,3.228814373282099,3.228814373282099,3.228814373282099,3.228814373282099
17061,2.848800073046208,2.848800073046207,8.881784197001252e-16,2.848800073046208,2.848800073046208,2.848800073046208,2.848800073046208,2.848800073046208,2.848800073046208
17062,3.10876533570957,3.10876533570957,0.0,3.10876533570957,3.10876533570957,3.10876533570957,3.10876533570957,3.10876533570957,3.10876533570957
17063,3.32044059484618,3.3204405948461804,4.440892098500626e-16,3.32044059484618,3.32044059484618,3.32044059484618,3.32044059484618,3.32044059484618,3.32044059484618
17064,2.4980511715846205,2.4980511715846205,0.0,2.4980511715846205,2.4980511715846205,2.4980511715846205,2.4980511715846205,2.4980511715846205,2.4980511715846205
17065,3.004383650917461,3.004383650917461,0.0,3.004383650917461,3.004383650917461,3.004383650917461,3.004383650917461,3.004383650917461,3.004383650917461
17066,3.4420148923642153,3.442014892364215,4.440892098500626e-16,3.4420148923642153,3.4420148923642153,3.4420148923642153,3.4420148923642153,3.4420148923642153,3.4420148923642153
17067,3.650879577024114,3.6508795770241136,4.440892098500626e-16,3.650879577024114,3.650879577024114,3.650879577024114,3.650879577024114,3.650879577024114,3.650879577024114
17068,3.3970478052072286,3.397047805207229,4.440892098500626e-16,3.3970478052072286,3.3970478052072286,3.3970478052072286,3.3970478052072286,3.3970478052072286,3.3970478052072286
17069,3.793991756003057,3.793991756003058,8.881784197001252e-16,3.793991756003057,3.793991756003057,3.793991756003057,3.793991756003057,3.793991756003057,3.793991756003057
17070,3.3475883762497394,3.34758837624974,4.440892098500626e-16,3.3475883762497394,3.3475883762497394,3.3475883762497394,3.3475883762497394,3.3475883762497394,3.3475883762497394
17071,3.6905879572928098,3.690587957292811,1.3322676295501878e-15,3.6905879572928098,3.6905879572928098,3.6905879572928098,3.6905879572928098,3.6905879572928098,3.6905879572928098
17072,3.0537206675895545,3.053720667589554,4.440892098500626e-16,3.0537206675895545,3.0537206675895545,3.0537206675895545,3.0537206675895545,3.0537206675895545,3.0537206675895545
17073,3.397786380719758,3.397786380719758,0.0,3.397786380719758,3.397786380719758,3.397786380719758,3.397786380719758,3.397786380719758,3.397786380719758
17074,3.70268585328859,3.7026858532885902,4.440892098500626e-16,3.70268585328859,3.70268585328859,3.70268585328859,3.70268585328859,3.70268585328859,3.70268585328859
17075,2.85415587299224,2.8541558729922394,4.440892098500626e-16,2.85415587299224,2.85415587299224,2.85415587299224,2.85415587299224,2.85415587299224,2.85415587299224
17076,3.6008356723857213,3.600835672385721,4.440892098500626e-16,3.6008356723857213,3.6008356723857213,3.6008356723857213,3.6008356723857213,3.6008356723857213,3.6008356723857213
17077,3.297707319040985,3.2977073190409865,1.3322676295501878e-15,3.297707319040985,3.297707319040985,3.297707319040985,3.297707319040985,3.297707319040985,3.297707319040985
17078,3.185383807355388,3.1853838073553877,4.440892098500626e-16,3.185383807355388,3.185383807355388,3.185383807355388,3.185383807355388,3.185383807355388,3.185383807355388
17079,3.1516453561953175,3.1516453561953175,0.0,3.1516453561953175,3.1516453561953175,3.1516453561953175,3.1516453561953175,3.1516453561953175,3.1516453561953175
17080,2.7998815404177217,2.7998815404177217,0.0,2.7998815404177217,2.7998815404177217,2.7998815404177217,2.7998815404177217,2.7998815404177217,2.7998815404177217
17081,3.5679085741520513,3.5679085741520495,1.7763568394002505e-15,3.5679085741520513,3.5679085741520513,3.5679085741520513,3.5679085741520513,3.5679085741520513,3.5679085741520513
